doc_key,name,condition,field,extracted,truth,status,abs_error,rel_error
NCT03417895_Prot_000,,with_skill,nct_id,,NCT03417895,missing,,
NCT03417895_Prot_000,,with_skill,brief_title,,SHR-1210 Combined With Apatinib in Treatment of ED-SCLC After Failure of First Line Standard Therapy,missing,,
NCT03417895_Prot_000,,with_skill,official_title,,Anti-PD-1 Antibody SHR-1210 Combined With Anti-angiogenesis Inhibitor Apatinib in Treatment of Extensive-stage Disease Small Cell Lung Cancer After Failure of First Line Standard Therapy,na,,
NCT03417895_Prot_000,,with_skill,sponsor,,"Jiangsu HengRui Medicine Co., Ltd.",missing,,
NCT03417895_Prot_000,,with_skill,study_type,,INTERVENTIONAL,missing,,
NCT03417895_Prot_000,,with_skill,phase,,PHASE2,missing,,
NCT03417895_Prot_000,,with_skill,allocation,,RANDOMIZED,missing,,
NCT03417895_Prot_000,,with_skill,masking,,NONE,missing,,
NCT03417895_Prot_000,,with_skill,intervention_model,,PARALLEL,missing,,
NCT03417895_Prot_000,,with_skill,enrollment_count,,59,missing,,
NCT03417895_Prot_000,,with_skill,start_date,,2018-04-20,na,,
NCT03417895_Prot_000,,with_skill,primary_completion_date,,2021-08-04,na,,
NCT03417895_Prot_000,,with_skill,completion_date,,2021-08-04,na,,
NCT03417895_Prot_000,,with_skill,minimum_age,,18 Years,missing,,
NCT03417895_Prot_000,,with_skill,maximum_age,,70 Years,missing,,
NCT03417895_Prot_000,,with_skill,sex,,ALL,missing,,
NCT03417895_Prot_000,,with_skill,healthy_volunteers,,False,missing,,
NCT03417895_Prot_000,,with_skill,primary_outcome_measure,,Adverse Event,na,,
NCT03417895_Prot_000,,with_skill,primary_outcome_time_frame,,24 months,na,,
NCT03417895_Prot_000,,with_skill,overall_status,,COMPLETED,na,,
NCT03417895_Prot_000,,no_skill,nct_id,NCT03417895,NCT03417895,correct,,
NCT03417895_Prot_000,,no_skill,brief_title,A phase II clinical study of SHR-1210 combined with apatinib mesylate for the treatment of extensive-stage small cell lung cancer failing first-line standard therapy (PASSION),SHR-1210 Combined With Apatinib in Treatment of ED-SCLC After Failure of First Line Standard Therapy,wrong,,
NCT03417895_Prot_000,,no_skill,official_title,A PHASE II CLINICAL STUDY OF SHR-1210 COMBINED WITH APATINIB MESYLATE FOR THE TREATMENT OF EXTENSIVE-STAGE SMALL CELL LUNG CANCER FAILING FIRST-LINE STANDARD THERAPY (PASSION),Anti-PD-1 Antibody SHR-1210 Combined With Anti-angiogenesis Inhibitor Apatinib in Treatment of Extensive-stage Disease Small Cell Lung Cancer After Failure of First Line Standard Therapy,na,,
NCT03417895_Prot_000,,no_skill,sponsor,"Jiangsu Hengrui Pharmaceuticals Co., Ltd.","Jiangsu HengRui Medicine Co., Ltd.",wrong,,
NCT03417895_Prot_000,,no_skill,study_type,INTERVENTIONAL,INTERVENTIONAL,correct,,
NCT03417895_Prot_000,,no_skill,phase,PHASE2,PHASE2,correct,,
NCT03417895_Prot_000,,no_skill,allocation,RANDOMIZED,RANDOMIZED,correct,,
NCT03417895_Prot_000,,no_skill,masking,NONE,NONE,correct,,
NCT03417895_Prot_000,,no_skill,intervention_model,PARALLEL,PARALLEL,correct,,
NCT03417895_Prot_000,,no_skill,enrollment_count,57,59,wrong,2.0,0.03389830508474576
NCT03417895_Prot_000,,no_skill,start_date,2018-01-01,2018-04-20,na,,
NCT03417895_Prot_000,,no_skill,primary_completion_date,,2021-08-04,na,,
NCT03417895_Prot_000,,no_skill,completion_date,2020-01-01,2021-08-04,na,,
NCT03417895_Prot_000,,no_skill,minimum_age,18 Years,18 Years,correct,,
NCT03417895_Prot_000,,no_skill,maximum_age,70 Years,70 Years,correct,,
NCT03417895_Prot_000,,no_skill,sex,ALL,ALL,correct,,
NCT03417895_Prot_000,,no_skill,healthy_volunteers,False,False,correct,,
NCT03417895_Prot_000,,no_skill,primary_outcome_measure,Incidence of AE evaluated as per CTCAE 4.03,Adverse Event,na,,
NCT03417895_Prot_000,,no_skill,primary_outcome_time_frame,,24 months,na,,
NCT03417895_Prot_000,,no_skill,overall_status,,COMPLETED,na,,
NCT02732119_Prot_000,,with_skill,nct_id,,NCT02732119,missing,,
NCT02732119_Prot_000,,with_skill,brief_title,,Study of Ribociclib With Everolimus + Exemestane in HR+ HER2- Locally Advanced/Metastatic Breast Cancer Post Progression on CDK 4/6 Inhibitor.,missing,,
NCT02732119_Prot_000,,with_skill,official_title,,"A Phase I/II, Single Arm, Open-label Study of Ribociclib in Combination With Everolimus + Exemestane in the Treatment of Men and Postmenopausal Women With HR+, HER2- Locally Advanced or Metastatic Breast Cancer Following Progression on a CDK 4/6 Inhibitor",na,,
NCT02732119_Prot_000,,with_skill,sponsor,,Novartis Pharmaceuticals,missing,,
NCT02732119_Prot_000,,with_skill,study_type,,INTERVENTIONAL,missing,,
NCT02732119_Prot_000,,with_skill,phase,,PHASE1|PHASE2,missing,,
NCT02732119_Prot_000,,with_skill,allocation,,NON_RANDOMIZED,missing,,
NCT02732119_Prot_000,,with_skill,masking,,NONE,missing,,
NCT02732119_Prot_000,,with_skill,intervention_model,,SINGLE_GROUP,missing,,
NCT02732119_Prot_000,,with_skill,enrollment_count,,104,missing,,
NCT02732119_Prot_000,,with_skill,start_date,,2016-06-14,na,,
NCT02732119_Prot_000,,with_skill,primary_completion_date,,2020-02-25,na,,
NCT02732119_Prot_000,,with_skill,completion_date,,2020-02-25,na,,
NCT02732119_Prot_000,,with_skill,minimum_age,,18 Years,missing,,
NCT02732119_Prot_000,,with_skill,maximum_age,,,na,,
NCT02732119_Prot_000,,with_skill,sex,,ALL,missing,,
NCT02732119_Prot_000,,with_skill,healthy_volunteers,,False,missing,,
NCT02732119_Prot_000,,with_skill,primary_outcome_measure,,Participants With Dose Limiting Toxicities by Preferred Term in Cycle 1 (28 Days) - in Phase I,na,,
NCT02732119_Prot_000,,with_skill,primary_outcome_time_frame,,Baseline up to 28 days,na,,
NCT02732119_Prot_000,,with_skill,overall_status,,COMPLETED,na,,
NCT02732119_Prot_000,,no_skill,nct_id,NCT02732119,NCT02732119,correct,,
