doc_key,name,condition,field,extracted,truth,status,abs_error,rel_error
NCT03417895_Prot_000,,with_skill,nct_id,NCT03417895,NCT03417895,correct,,
NCT03417895_Prot_000,,with_skill,brief_title,A phase II clinical study of SHR-1210 combined with apatinib mesylate for the treatment of extensive-stage small cell lung cancer failing first-line standard therapy (PASSION),SHR-1210 Combined With Apatinib in Treatment of ED-SCLC After Failure of First Line Standard Therapy,wrong,,
NCT03417895_Prot_000,,with_skill,official_title,"Immune Checkpoint Inhibitor SHR-1210-II-206 Version 2.0, Version Date: 12 Jun., 2018",Anti-PD-1 Antibody SHR-1210 Combined With Anti-angiogenesis Inhibitor Apatinib in Treatment of Extensive-stage Disease Small Cell Lung Cancer After Failure of First Line Standard Therapy,na,,
NCT03417895_Prot_000,,with_skill,sponsor,"Jiangsu Hengrui Pharmaceuticals Co., Ltd.","Jiangsu HengRui Medicine Co., Ltd.",wrong,,
NCT03417895_Prot_000,,with_skill,study_type,INTERVENTIONAL,INTERVENTIONAL,correct,,
NCT03417895_Prot_000,,with_skill,phase,PHASE2,PHASE2,correct,,
NCT03417895_Prot_000,,with_skill,allocation,RANDOMIZED,RANDOMIZED,correct,,
NCT03417895_Prot_000,,with_skill,masking,NONE,NONE,correct,,
NCT03417895_Prot_000,,with_skill,intervention_model,PARALLEL,PARALLEL,correct,,
NCT03417895_Prot_000,,with_skill,enrollment_count,57,59,wrong,2.0,0.03389830508474576
NCT03417895_Prot_000,,with_skill,start_date,2018-01-01,2018-04-20,na,,
NCT03417895_Prot_000,,with_skill,primary_completion_date,2019-07-01,2021-08-04,na,,
NCT03417895_Prot_000,,with_skill,completion_date,2020-01-01,2021-08-04,na,,
NCT03417895_Prot_000,,with_skill,minimum_age,18 Years,18 Years,correct,,
NCT03417895_Prot_000,,with_skill,maximum_age,70 Years,70 Years,correct,,
NCT03417895_Prot_000,,with_skill,sex,ALL,ALL,correct,,
NCT03417895_Prot_000,,with_skill,healthy_volunteers,False,False,correct,,
NCT03417895_Prot_000,,with_skill,primary_outcome_measure,Incidence of AE evaluated as per CTCAE 4.03,Adverse Event,na,,
NCT03417895_Prot_000,,with_skill,primary_outcome_time_frame,,24 months,na,,
NCT03417895_Prot_000,,with_skill,overall_status,,COMPLETED,na,,
NCT03417895_Prot_000,,no_skill,nct_id,NCT03417895,NCT03417895,correct,,
