doc_key,name,condition,field,extracted,truth,status,abs_error,rel_error
2745426_2024-09-30,Legends Bank,with_skill,form_version,041,,na,,
2745426_2024-09-30,Legends Bank,with_skill,total_assets,853110000.0,853110000.0,correct,0.0,0.0
2745426_2024-09-30,Legends Bank,with_skill,total_deposits,749996000.0,749996000.0,correct,0.0,0.0
2745426_2024-09-30,Legends Bank,with_skill,total_loans_net,572222000.0,574390000.0,correct,2168000.0,0.003774438970037779
2745426_2024-09-30,Legends Bank,with_skill,allowance_credit_losses_loans,5047000.0,5047000.0,correct,0.0,0.0
2745426_2024-09-30,Legends Bank,with_skill,total_liabilities,772584000.0,772584000.0,correct,0.0,0.0
2745426_2024-09-30,Legends Bank,with_skill,total_equity_capital,80526000.0,80526000.0,correct,0.0,0.0
2745426_2024-09-30,Legends Bank,with_skill,total_securities,135438000.0,199748000.0,wrong,64310000.0,0.32195566413681237
2745426_2024-09-30,Legends Bank,with_skill,trading_assets,0.0,0.0,correct,0.0,0.0
2745426_2024-09-30,Legends Bank,with_skill,intangible_assets,0.0,0.0,correct,0.0,0.0
2745426_2024-09-30,Legends Bank,with_skill,oreo,0.0,0.0,correct,0.0,0.0
2745426_2024-09-30,Legends Bank,with_skill,total_real_estate_loans,484955000.0,501955000.0,wrong,17000000.0,0.033867577770915716
2745426_2024-09-30,Legends Bank,with_skill,ci_loans,56829000.0,56829000.0,correct,0.0,0.0
2745426_2024-09-30,Legends Bank,with_skill,total_interest_income,34637000.0,34637000.0,correct,0.0,0.0
2745426_2024-09-30,Legends Bank,with_skill,total_interest_expense,14349000.0,14349000.0,correct,0.0,0.0
2745426_2024-09-30,Legends Bank,with_skill,net_interest_income,20288000.0,20288000.0,correct,0.0,0.0
2745426_2024-09-30,Legends Bank,with_skill,provision_credit_losses,65000.0,65000.0,correct,0.0,0.0
2745426_2024-09-30,Legends Bank,with_skill,total_noninterest_income,4419000.0,4419000.0,correct,0.0,0.0
2745426_2024-09-30,Legends Bank,with_skill,total_noninterest_expense,17569000.0,17569000.0,correct,0.0,0.0
