doc_key,name,condition,field,extracted,truth,status,abs_error,rel_error
200097189_2023,Mozilla Foundation,with_skill,ein,200097189,200097189,correct,,
200097189_2023,Mozilla Foundation,with_skill,legal_name,MOZILLA FOUNDATION,Mozilla Foundation,na,,
200097189_2023,Mozilla Foundation,with_skill,tax_year,2023,2023,correct,0.0,0.0
200097189_2023,Mozilla Foundation,with_skill,total_revenue,64660933.0,64660933.0,correct,0.0,0.0
200097189_2023,Mozilla Foundation,with_skill,contributions_grants,7821194.0,7821194.0,correct,0.0,0.0
200097189_2023,Mozilla Foundation,with_skill,program_service_revenue,19254387.0,19254387.0,correct,0.0,0.0
200097189_2023,Mozilla Foundation,with_skill,investment_income,37574982.0,37574982.0,correct,0.0,0.0
200097189_2023,Mozilla Foundation,with_skill,total_expenses,39845284.0,39845284.0,correct,0.0,0.0
200097189_2023,Mozilla Foundation,with_skill,revenue_less_expenses,24815649.0,24815649.0,correct,0.0,0.0
200097189_2023,Mozilla Foundation,with_skill,compensation_current_officers,3287433.0,3287433.0,correct,0.0,0.0
200097189_2023,Mozilla Foundation,with_skill,other_salaries_wages,10106669.0,10106669.0,correct,0.0,0.0
200097189_2023,Mozilla Foundation,with_skill,professional_fundraising_fees,0.0,0.0,correct,0.0,0.0
200097189_2023,Mozilla Foundation,with_skill,total_assets_eoy,124157331.0,124157331.0,correct,0.0,0.0
200097189_2023,Mozilla Foundation,with_skill,total_liabilities_eoy,6199575.0,6199575.0,correct,0.0,0.0
200097189_2023,Mozilla Foundation,with_skill,net_assets_eoy,117957756.0,117957756.0,correct,0.0,0.0
200097189_2023,Mozilla Foundation,no_skill,ein,200097189,200097189,correct,,
200097189_2023,Mozilla Foundation,no_skill,legal_name,MOZILLA FOUNDATION,Mozilla Foundation,na,,
200097189_2023,Mozilla Foundation,no_skill,tax_year,2023,2023,correct,0.0,0.0
200097189_2023,Mozilla Foundation,no_skill,total_revenue,64660933.0,64660933.0,correct,0.0,0.0
200097189_2023,Mozilla Foundation,no_skill,contributions_grants,7821194.0,7821194.0,correct,0.0,0.0
200097189_2023,Mozilla Foundation,no_skill,program_service_revenue,19254387.0,19254387.0,correct,0.0,0.0
200097189_2023,Mozilla Foundation,no_skill,investment_income,37574982.0,37574982.0,correct,0.0,0.0
200097189_2023,Mozilla Foundation,no_skill,total_expenses,39845284.0,39845284.0,correct,0.0,0.0
200097189_2023,Mozilla Foundation,no_skill,revenue_less_expenses,24815649.0,24815649.0,correct,0.0,0.0
200097189_2023,Mozilla Foundation,no_skill,compensation_current_officers,3287433.0,3287433.0,correct,0.0,0.0
200097189_2023,Mozilla Foundation,no_skill,other_salaries_wages,10106669.0,10106669.0,correct,0.0,0.0
200097189_2023,Mozilla Foundation,no_skill,professional_fundraising_fees,0.0,0.0,correct,0.0,0.0
200097189_2023,Mozilla Foundation,no_skill,total_assets_eoy,124157331.0,124157331.0,correct,0.0,0.0
200097189_2023,Mozilla Foundation,no_skill,total_liabilities_eoy,6199575.0,6199575.0,correct,0.0,0.0
200097189_2023,Mozilla Foundation,no_skill,net_assets_eoy,117957756.0,117957756.0,correct,0.0,0.0
261544963_2021,"Khan Academy, Inc.",with_skill,ein,261544963,261544963,correct,,
261544963_2021,"Khan Academy, Inc.",with_skill,legal_name,"KHAN ACADEMY, INC.",Khan Academy Inc,na,,
261544963_2021,"Khan Academy, Inc.",with_skill,tax_year,2021,2021,correct,0.0,0.0
261544963_2021,"Khan Academy, Inc.",with_skill,total_revenue,59263743.0,59263743.0,correct,0.0,0.0
261544963_2021,"Khan Academy, Inc.",with_skill,contributions_grants,48693146.0,48693146.0,correct,0.0,0.0
261544963_2021,"Khan Academy, Inc.",with_skill,program_service_revenue,9355361.0,9355361.0,correct,0.0,0.0
261544963_2021,"Khan Academy, Inc.",with_skill,investment_income,1221511.0,1221511.0,correct,0.0,0.0
261544963_2021,"Khan Academy, Inc.",with_skill,total_expenses,53879015.0,53879015.0,correct,0.0,0.0
261544963_2021,"Khan Academy, Inc.",with_skill,revenue_less_expenses,5384728.0,5384728.0,correct,0.0,0.0
261544963_2021,"Khan Academy, Inc.",with_skill,compensation_current_officers,3750144.0,3750144.0,correct,0.0,0.0
261544963_2021,"Khan Academy, Inc.",with_skill,other_salaries_wages,29332523.0,29332523.0,correct,0.0,0.0
261544963_2021,"Khan Academy, Inc.",with_skill,professional_fundraising_fees,0.0,0.0,correct,0.0,0.0
261544963_2021,"Khan Academy, Inc.",with_skill,total_assets_eoy,115035528.0,115035528.0,correct,0.0,0.0
261544963_2021,"Khan Academy, Inc.",with_skill,total_liabilities_eoy,9272154.0,9272154.0,correct,0.0,0.0
261544963_2021,"Khan Academy, Inc.",with_skill,net_assets_eoy,105763374.0,105763374.0,correct,0.0,0.0
261544963_2021,"Khan Academy, Inc.",no_skill,ein,261544963,261544963,correct,,
261544963_2021,"Khan Academy, Inc.",no_skill,legal_name,"KHAN ACADEMY, INC.",Khan Academy Inc,na,,
261544963_2021,"Khan Academy, Inc.",no_skill,tax_year,2021,2021,correct,0.0,0.0
261544963_2021,"Khan Academy, Inc.",no_skill,total_revenue,59263743.0,59263743.0,correct,0.0,0.0
261544963_2021,"Khan Academy, Inc.",no_skill,contributions_grants,48693146.0,48693146.0,correct,0.0,0.0
261544963_2021,"Khan Academy, Inc.",no_skill,program_service_revenue,9355361.0,9355361.0,correct,0.0,0.0
261544963_2021,"Khan Academy, Inc.",no_skill,investment_income,1221511.0,1221511.0,correct,0.0,0.0
261544963_2021,"Khan Academy, Inc.",no_skill,total_expenses,53879015.0,53879015.0,correct,0.0,0.0
261544963_2021,"Khan Academy, Inc.",no_skill,revenue_less_expenses,5384728.0,5384728.0,correct,0.0,0.0
261544963_2021,"Khan Academy, Inc.",no_skill,compensation_current_officers,3750144.0,3750144.0,correct,0.0,0.0
261544963_2021,"Khan Academy, Inc.",no_skill,other_salaries_wages,29332523.0,29332523.0,correct,0.0,0.0
261544963_2021,"Khan Academy, Inc.",no_skill,professional_fundraising_fees,0.0,0.0,correct,0.0,0.0
261544963_2021,"Khan Academy, Inc.",no_skill,total_assets_eoy,115035528.0,115035528.0,correct,0.0,0.0
261544963_2021,"Khan Academy, Inc.",no_skill,total_liabilities_eoy,9272154.0,9272154.0,correct,0.0,0.0
261544963_2021,"Khan Academy, Inc.",no_skill,net_assets_eoy,105763374.0,105763374.0,correct,0.0,0.0
530196605_2021,American National Red Cross,with_skill,ein,530196605,530196605,correct,,
