doc_key,name,condition,field,extracted,truth,status,abs_error,rel_error
80661_0000080661-26-000177,Progressive,with_skill,issuer_name,THE PROGRESSIVE CORPORATION,PROGRESSIVE CORP/OH/,na,,
80661_0000080661-26-000177,Progressive,with_skill,period_end_date,2026-03-31,2026-03-31,correct,,
80661_0000080661-26-000177,Progressive,with_skill,total_revenues,22188000000.0,22188000000,correct,0.0,0.0
80661_0000080661-26-000177,Progressive,with_skill,net_investment_income,909000000.0,909000000,correct,0.0,0.0
80661_0000080661-26-000177,Progressive,with_skill,net_income,2818000000.0,2818000000,correct,0.0,0.0
80661_0000080661-26-000177,Progressive,with_skill,net_income_per_share_basic,4.81,4.81,correct,0.0,0.0
80661_0000080661-26-000177,Progressive,with_skill,net_income_per_share_diluted,4.8,4.8,correct,0.0,0.0
80661_0000080661-26-000177,Progressive,with_skill,total_assets,122209000000.0,122209000000,correct,0.0,0.0
80661_0000080661-26-000177,Progressive,with_skill,total_investments,94131000000.0,94131000000,correct,0.0,0.0
80661_0000080661-26-000177,Progressive,with_skill,total_liabilities,90170000000.0,90170000000,correct,0.0,0.0
80661_0000080661-26-000177,Progressive,with_skill,stockholders_equity,32039000000.0,32039000000,correct,0.0,0.0
80661_0000080661-26-000177,Progressive,with_skill,insurance_reserves,44377000000.0,44377000000,correct,0.0,0.0
80661_0000080661-26-000177,Progressive,with_skill,deferred_policy_acquisition_costs,2131000000.0,2131000000,correct,0.0,0.0
80661_0000080661-26-000177,Progressive,with_skill,cash_from_operations,4367000000.0,4367000000,correct,0.0,0.0
80661_0000080661-26-000177,Progressive,with_skill,cash_from_investing,2637000000.0,2637000000,correct,0.0,0.0
80661_0000080661-26-000177,Progressive,with_skill,cash_from_financing,-6963000000.0,-6963000000,correct,0.0,0.0
80661_0000080661-26-000177,Progressive,with_skill,common_shares_outstanding,584336464.0,584336464,correct,0.0,0.0
80661_0000080661-26-000177,Progressive,no_skill,issuer_name,The Progressive Corporation,PROGRESSIVE CORP/OH/,na,,
80661_0000080661-26-000177,Progressive,no_skill,period_end_date,2026-03-31,2026-03-31,correct,,
80661_0000080661-26-000177,Progressive,no_skill,total_revenues,22188000000.0,22188000000,correct,0.0,0.0
80661_0000080661-26-000177,Progressive,no_skill,net_investment_income,917000000.0,909000000,wrong,8000000.0,0.0088008800880088
80661_0000080661-26-000177,Progressive,no_skill,net_income,2818000000.0,2818000000,correct,0.0,0.0
80661_0000080661-26-000177,Progressive,no_skill,net_income_per_share_basic,4.81,4.81,correct,0.0,0.0
80661_0000080661-26-000177,Progressive,no_skill,net_income_per_share_diluted,4.8,4.8,correct,0.0,0.0
80661_0000080661-26-000177,Progressive,no_skill,total_assets,122209000000.0,122209000000,correct,0.0,0.0
80661_0000080661-26-000177,Progressive,no_skill,total_investments,94131000000.0,94131000000,correct,0.0,0.0
80661_0000080661-26-000177,Progressive,no_skill,total_liabilities,90170000000.0,90170000000,correct,0.0,0.0
80661_0000080661-26-000177,Progressive,no_skill,stockholders_equity,32039000000.0,32039000000,correct,0.0,0.0
80661_0000080661-26-000177,Progressive,no_skill,insurance_reserves,44377000000.0,44377000000,correct,0.0,0.0
80661_0000080661-26-000177,Progressive,no_skill,deferred_policy_acquisition_costs,2131000000.0,2131000000,correct,0.0,0.0
80661_0000080661-26-000177,Progressive,no_skill,cash_from_operations,4367000000.0,4367000000,correct,0.0,0.0
